Assamese_Sentence	English_Translation
তদুপৰি এইবেলিও পূৰ্বৰ দৰেই তেওঁ বিপুল ভোটত জয়ী হব বুলি মন্তব্য প্ৰকাশ কৰিছে নৱ কুমাৰ শৰণীয়াই।	Moreover, Naba Kumar Sarania has expressed the opinion that this time too, he will win with a huge vote as before.
১৯৮৫ বেটছৰ আই পি এছ বিষয়া আছিল কুলধৰ শইকীয়া।	Kuladhar Saikia was an IPS officer of 1985 batch.
প্ৰতিবছৰৰ দৰে এইবাৰো বহাগ মাহৰ কৃষ্ণ পক্ষৰ প্ৰথমটো মঙলবাৰৰ দিনা চুবুৰীয়া ৰাজ্য মেঘালয়ৰ পশ্চিম গাৰো পাহাৰ জিলাত অনুষ্ঠিত হয় ৫৫ তম দেৱী চাৰণতলা মেলা।	Like every year, this time too, the 55th Devi Charantala Mela is held in the West Garo Hills district of the neighbouring state of Meghalaya on the first Tuesday of the Krishna Paksha in the month of Bahag.
ইছৰ’ৰ অধ্যক্ষৰ পৰা এই বিজুতিৰ বিষয়ে অৱগত হোৱাৰ মুহূৰ্ততে বিজ্ঞানী সকলৰ মাজত দেখা দিয়া হতাশাৰ পৰিস্থিৰি চম্ভালি লৈ অতি বিচক্ষণ প্ৰধানমন্ত্ৰী নৰেন্দ্ৰ মোডীয়ে সকলোকে সম্বোধন কৰি ক’লে- এনে বিজুতিক বিফলতা বুলি গণ্য কৰিব পৰা নাযায়।	The moment he came to know about the failure from the chairman of ISRO, the very astute Prime Minister Narendra Modi, taking care of the frustration among the scientists, addressed everyone and said that such a failure could not be considered.
বৃহস্পতিবাৰে ঘোষণা হ’ব লগা লোকসভা নিৰ্বাচনৰ ফলাফলৰ বাবে প্ৰস্তুত কৰিছে এনেদৰে লাড়ু।	This is how the laddu is preparing for the Lok Sabha election results to be announced on Thursday.
মাঞ্জা আৰক্ষীৰ থানাৰ ভাৰপ্ৰাপ্ত বিষয়া জিতুমণি বৰাৰ নেতৃত্বত চলা এক অভিযানত আৰক্ষীয়ে গ্ৰেপ্তাৰ কৰিছিল এখন ডাম্পাৰসহ প্রশান্ত সিং নামৰ এটা দুৰ্ধৰ্ষ চোৰক।	In an operation led by Manja police station officer-in-charge Jitumani Bora, police arrested a notorious thief named Prashant Singh with a dumper.
আৰক্ষীয়ে সেই টকাখিনিও অভিযুক্ত সত্যজিতৰ পৰা জব্দ কৰিবলৈ সক্ষম হয়।	The police also managed to seize the money from the accused, Satyajit.
অভিযোগ মতে, গুৱাহাটী প্ৰেছ ক্লাৱৰ পৰা সাধাৰণ সদস্য হিচাপে সৌম্যদ্বীপ দত্তক দিয়া হৈছিল এখন পৰিচয় পত্ৰ।	According to the complaint, Soumyadeep Dutta was given an identity card from the Guwahati Press Club as an ordinary member.
তাৰেই এক অংশ হিচাপে আজি মৰিয়নিৰ নাগাজাংকাত অৱস্থিত সামুহিক স্বাস্থ্য কেন্দ্ৰত এক সজাগতামূলক অনুষ্ঠান অনুষ্ঠিত কৰাৰ লগতে এক বিভিন্ন কৌশল প্ৰদৰ্শন কৰে ।	As a part of that, today Morioni held an awareness program at the Community Health Center located in Nagajanka and demonstrated a variety of techniques.
অৱশ্যে পৰীক্ষার্থীৰ সুবিধার্থে এইবাৰ ছেবাই হাতত লৈছে আন কেইবাটাও ইতিবাচক পদক্ষেপ৷	However, a number of other positive steps have been taken by the SEBA this time for the benefit of the examinees.
এই খবৰ পোৱাৰ পিচতেই ছয়গাঁও আৰক্ষী থানাৰ ভাৰপ্ৰাপ্ত আৰক্ষী বিষয়া কপিল পাঠকৰ নেতৃত্বত চলোৱা অভিযানত উক্ত মূল্যৱান চোৰাং সামগ্ৰীখিনি জব্দ কৰাৰ লগতে নুৰ ইছলাম নামৰ লোকজনক গ্ৰেপ্তাৰ কৰে।	On receipt of this information, a raid led by Kapil Pathak, officer-in-charge of Chhaygaon Police Station, seized the said valuables and arrested one Nur Islam.
শাক-পাচলি, মাছ-মাংস, গেলামালৰ দোকানো সোমবাৰৰ পৰা ১৪ দিনলৈ বন্ধ থাকিব।	Vegetable, fish, meat, grocery shops will also be closed for 14 days from Monday.
প্ৰতিবাদত স্থানীয় ৰাইজ, জ্যেষ্ঠ সমাজকে ধৰি সহস্ৰাধিক লোকে অংশগ্ৰহণ কৰে।	Thousands of people, including the local public and the senior society, participate in the protest.
